2023-04-01 19:08:46,602 INFO : schoolmistress logged in successfully
2023-04-01 19:38:50,626 INFO : Highlight: {'top_left': [17, 144], 'bottom_right': [1407.71875, 216]}
2023-04-01 19:38:50,633 INFO : Highlight: {'top_left': [95.4296875, 186.5], 'bottom_right': [1241.1328125, 216]}
2023-04-01 19:38:50,639 INFO : Highlight: {'top_left': [17, 186.5], 'bottom_right': [1453.9375, 301]}
2023-04-01 19:38:50,646 INFO : Highlight: {'top_left': [17, 271.5], 'bottom_right': [1452.84375, 343.5]}
2023-04-01 19:38:50,653 INFO : Highlight: {'top_left': [17, 372.5], 'bottom_right': [1110.6875, 402]}
2023-04-01 19:38:50,658 INFO : Highlight: {'count': 16}
2023-04-01 19:42:30,229 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [492.5546875, 30]}
2023-04-01 19:42:30,240 INFO : Highlight: {'top_left': [17, 59], 'bottom_right': [1281.7265625, 88.5]}
2023-04-01 19:42:30,248 INFO : Highlight: {'top_left': [17, 59], 'bottom_right': [1424.5078125, 131]}
2023-04-01 19:42:30,258 INFO : Highlight: {'top_left': [17, 101.5], 'bottom_right': [1458.3125, 258.5]}
2023-04-01 19:42:30,269 INFO : Highlight: {'top_left': [17, 229], 'bottom_right': [1447.1796875, 343.5]}
2023-04-01 19:42:30,283 INFO : Highlight: {'top_left': [17, 372.5], 'bottom_right': [1431.8828125, 444.5]}
2023-04-01 19:42:30,290 INFO : Highlight: {'top_left': [17, 415], 'bottom_right': [1432.296875, 487]}
2023-04-01 19:42:30,295 INFO : Highlight: {'count': 7}
2023-04-01 19:42:41,488 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1113.3125, 30]}
2023-04-01 19:42:41,492 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1113.3125, 30]}
2023-04-01 19:42:41,494 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1246.2421875, 30]}
2023-04-01 19:42:41,498 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,500 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,502 INFO : Highlight: {'top_left': [17, 0.5], 'bottom_right': [1450.046875, 115]}
2023-04-01 19:42:41,505 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,507 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,509 INFO : Highlight: {'top_left': [438.5625, 85.5], 'bottom_right': [1334.59375, 115]}
2023-04-01 19:42:41,512 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,514 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
2023-04-01 19:42:41,517 INFO : Highlight: {'top_left': [17, 85.5], 'bottom_right': [1451.7265625, 200]}
2023-04-01 19:42:41,520 INFO : Highlight: {'top_left': [0, -80], 'bottom_right': [0, -80]}
